id,title,text
847,Peruse how infinite I am,"To – no one that you know!
And sigh for lack of heaven, – but not
The heaven the creeds bestow."
848,Poem 848,VII.
849,Wild nights! Wild nights!,"Were I with thee,
Wild nights should be
Our luxury!"
850,Futile the winds,"To a heart in port, –
Done with the compass,
Done with the chart."
851,Rowing in Eden!,"Ah! the sea!
Might I but moor
To–night in thee!"
852,Poem 852,VIII.
853,Poem 853,AT HOME.
854,"The night was wide, and furnished scant","With but a single star,
That often as a cloud it met
Blew out itself for fear."
855,"The wind pursued the little bush,","And drove away the leaves
November left; then clambered up
And fretted in the eaves."
856,No squirrel went abroad;,"A dog's belated feet
Like intermittent plush were heard
Adown the empty street."
857,"To feel if blinds be fast,","And closer to the fire
Her little rocking–chair to draw,
And shiver for the poor,"
858,The housewife's gentle task.,"""How pleasanter,"" said she
Unto the sofa opposite,
""The sleet than May – no thee!"""
859,Poem 859,IX.
860,Poem 860,POSSESSION.
861,Did the harebell loose her girdle,"To the lover bee,
Would the bee the harebell hallow
Much as formerly?"
862,"Did the paradise, persuaded,","Yield her moat of pearl,
Would the Eden be an Eden,
Or the earl an earl?"
863,Poem 863,X.
864,A charm invests a face,"Imperfectly beheld, –
The lady dare not lift her veil
For fear it be dispelled."
865,"But peers beyond her mesh,","And wishes, and denies, –
Lest interview annul a want
That image satisfies."
866,Poem 866,XI.
867,Poem 867,THE LOVERS.
868,"The rose did caper on her cheek,","Her bodice rose and fell,
Her pretty speech, like drunken men,
Did stagger pitiful."
869,"Her fingers fumbled at her work, –","Her needle would not go;
What ailed so smart a little maid
It puzzled me to know,"
870,Till opposite I spied a cheek,"That bore another rose;
Just opposite, another speech
That like the drunkard goes;"
871,"A vest that, like the bodice, danced","To the immortal tune, –
Till those two troubled little clocks
Ticked softly into one."
872,Poem 872,XII.
873,"In lands I never saw, they say,","Immortal Alps look down,
Whose bonnets touch the firmament,
Whose sandals touch the town, –"
874,Meek at whose everlasting feet,"A myriad daisies play.
Which, sir, are you, and which am I,
Upon an August day?"
875,Poem 875,XIII.
876,"The moon is distant from the sea,","And yet with amber hands
She leads him, docile as a boy,
Along appointed sands."
877,He never misses a degree;,"Obedient to her eye,
He comes just so far toward the town,
Just so far goes away."
878,"Oh, Signor, thine the amber hand,","And mine the distant sea, –
Obedient to the least command
Thine eyes impose on me."
879,Poem 879,XIV.
880,"He put the belt around my life, –","I heard the buckle snap,
And turned away, imperial,
My lifetime folding up
Deliberate, as a duke would do
A kingdom's title–deed, –
Henceforth a dedicated sort,
A member of the cloud."
881,"Yet not too far to come at call,","And do the little toils
That make the circuit of the rest,
And deal occasional smiles
To lives that stoop to notice mine
And kindly ask it in, –
Whose invitation, knew you not
For whom I must decline?"
882,Poem 882,XV.
883,Poem 883,THE LOST JEWEL.
884,I held a jewel in my fingers,"And went to sleep.
The day was warm, and winds were prosy;
I said: ""'T will keep."""
885,"I woke and chid my honest fingers, –","The gem was gone;
And now an amethyst remembrance
Is all I own."
886,Poem 886,XVI.
887,What if I say I shall not wait?,"What if I burst the fleshly gate
And pass, escaped, to thee?
What if I file this mortal off,
See where it hurt me, – that 's enough, –
And wade in liberty?"
888,"They cannot take us any more, –","Dungeons may call, and guns implore;
Unmeaning now, to me,
As laughter was an hour ago,
Or laces, or a travelling show,
Or who died yesterday!"
889,Poem 889,III. NATURE.
890,Poem 890,I.
891,Poem 891,MOTHER NATURE.
892,"Nature, the gentlest mother,","Impatient of no child,
The feeblest or the waywardest, –
Her admonition mild"
893,In forest and the hill,"By traveller is heard,
Restraining rampant squirrel
Or too impetuous bird."
894,"How fair her conversation,","A summer afternoon, –
Her household, her assembly;
And when the sun goes down"
895,Her voice among the aisles,"Incites the timid prayer
Of the minutest cricket,
The most unworthy flower."
896,When all the children sleep,"She turns as long away
As will suffice to light her lamps;
Then, bending from the sky"
897,With infinite affection,"And infiniter care,
Her golden finger on her lip,
Wills silence everywhere."
898,Poem 898,II.
899,Poem 899,OUT OF THE MORNING.
900,Will there really be a morning?,"Is there such a thing as day?
Could I see it from the mountains
If I were as tall as they?"
901,Has it feet like water–lilies?,"Has it feathers like a bird?
Is it brought from famous countries
Of which I have never heard?"
902,"Oh, some scholar! Oh, some sailor!","Oh, some wise man from the skies!
Please to tell a little pilgrim
Where the place called morning lies!"
903,Poem 903,III.
904,At half–past three a single bird,"Unto a silent sky
Propounded but a single term
Of cautious melody."
905,"At half–past four, experiment","Had subjugated test,
And lo! her silver principle
Supplanted all the rest."
906,"At half–past seven, element","Nor implement was seen,
And place was where the presence was,
Circumference between."
907,Poem 907,IV.
908,Poem 908,DAY'S PARLOR.
909,"The day came slow, till five o'clock,","Then sprang before the hills
Like hindered rubies, or the light
A sudden musket spills."
910,"The purple could not keep the east,","The sunrise shook from fold,
Like breadths of topaz, packed a night,
The lady just unrolled."
911,The happy winds their timbrels took;,"The birds, in docile rows,
Arranged themselves around their prince
(The wind is prince of those)."
912,"The orchard sparkled like a Jew, –","How mighty 't was, to stay
A guest in this stupendous place,
The parlor of the day!"
913,Poem 913,V.
914,Poem 914,THE SUN'S WOOING.
915,The sun just touched the morning;,"The morning, happy thing,
Supposed that he had come to dwell,
And life would be all spring."
916,"She felt herself supremer, –","A raised, ethereal thing;
Henceforth for her what holiday!
Meanwhile, her wheeling king"
917,Trailed slow along the orchards,"His haughty, spangled hems,
Leaving a new necessity, –
The want of diadems!"
918,"The morning fluttered, staggered,","Felt feebly for her crown, –
Her unanointed forehead
Henceforth her only one."
919,Poem 919,VI.
920,Poem 920,THE ROBIN.
921,The robin is the one,"That interrupts the morn
With hurried, few, express reports
When March is scarcely on."
922,The robin is the one,"That overflows the noon
With her cherubic quantity,
An April but begun."
923,The robin is the one,"That speechless from her nest
Submits that home and certainty
And sanctity are best."
924,Poem 924,VII.
925,Poem 925,THE BUTTERFLY'S DAY.
926,From cocoon forth a butterfly,"As lady from her door
Emerged – a summer afternoon –
Repairing everywhere,"
927,"Without design, that I could trace,","Except to stray abroad
On miscellaneous enterprise
The clovers understood."
928,Her pretty parasol was seen,"Contracting in a field
Where men made hay, then struggling hard
With an opposing cloud,"
929,"Where parties, phantom as herself,","To Nowhere seemed to go
In purposeless circumference,
As 't were a tropic show."
930,"And notwithstanding bee that worked,","And flower that zealous blew,
This audience of idleness
Disdained them, from the sky,"
931,"Till sundown crept, a steady tide,","And men that made the hay,
And afternoon, and butterfly,
Extinguished in its sea."
932,Poem 932,VIII.
933,Poem 933,THE BLUEBIRD.
934,"Before you thought of spring,","Except as a surmise,
You see, God bless his suddenness,
A fellow in the skies
Of independent hues,
A little weather–worn,
Inspiriting habiliments
Of indigo and brown."
935,"With specimens of song,","As if for you to choose,
Discretion in the interval,
With gay delays he goes
To some superior tree
Without a single leaf,
And shouts for joy to nobody
But his seraphic self!"
936,Poem 936,IX.
937,Poem 937,APRIL.
938,An altered look about the hills;,"A Tyrian light the village fills;
A wider sunrise in the dawn;
A deeper twilight on the lawn;
A print of a vermilion foot;
A purple finger on the slope;
A flippant fly upon the pane;
A spider at his trade again;
An added strut in chanticleer;
A flower expected everywhere;
An axe shrill singing in the woods;
Fern–odors on untravelled roads, –
All this, and more I cannot tell,
A furtive look you know as well,
And Nicodemus' mystery
Receives its annual reply."
939,Poem 939,X.
940,Poem 940,THE SLEEPING FLOWERS.
941,"""Whose are the little beds,"" I asked,","""Which in the valleys lie?""
Some shook their heads, and others smiled,
And no one made reply."
942,"""Perhaps they did not hear,"" I said;","""I will inquire again.
Whose are the beds, the tiny beds
So thick upon the plain?"""
943,"""'T is daisy in the shortest;","A little farther on,
Nearest the door to wake the first,
Little leontodon."
944,"""'T is iris, sir, and aster,","Anemone and bell,
Batschia in the blanket red,
And chubby daffodil."""
945,Meanwhile at many cradles,"Her busy foot she plied,
Humming the quaintest lullaby
That ever rocked a child."
946,"""Hush! Epigea wakens! –","The crocus stirs her lids,
Rhodora's cheek is crimson, –
She's dreaming of the woods."""
947,"Then, turning from them, reverent,","""Their bed–time 't is,"" she said;
""The bumble–bees will wake them
When April woods are red."""
948,Poem 948,XI.
949,Poem 949,MY ROSE.
950,"Pigmy seraphs gone astray,","Velvet people from Vevay,
Belles from some lost summer day,
Bees' exclusive coterie.
Paris could not lay the fold
Belted down with emerald;
Venice could not show a cheek
Of a tint so lustrous meek.
Never such an ambuscade
As of brier and leaf displayed
For my little damask maid.
I had rather wear her grace
Than an earl's distinguished face;
I had rather dwell like her
Than be Duke of Exeter
Royalty enough for me
To subdue the bumble–bee!"
